ip_version,country,scan_date,errorMessage,count
ipv4,brunei,2026-04-25,timeout: no recent network activity,441
ipv4,cambodia,2026-04-25,timeout: no recent network activity,1553
ipv4,cambodia,2026-04-25,CRYPTO_ERROR (0x150): 200:internal error,15
ipv4,cambodia,2026-04-25,CRYPTO_ERROR (0x150): TLS alert 80,13
ipv4,cambodia,2026-04-25,CRYPTO_ERROR (0x128): 28:TLS handshake failure (ENCRYPTION_INITIAL) 40: handshake failure. SSLErrorStack:[handshake_server.cc:602] error:10000085:SSL routines:OPENSSL_internal:CONNECTION_REJECTED. ExtraDetail:select_cert_error: proof_source_handle async failure,10
ipv4,cambodia,2026-04-25,CRYPTO_ERROR (0x128) (frame type: 0x6): 28:TLS handshake failure (ENCRYPTION_INITIAL) 40: handshake failure,3
ipv4,cambodia,2026-04-25,INTERNAL_ERROR,3
ipv4,cambodia,2026-04-25,CRYPTO_ERROR (0x146): handshake failed,2
ipv4,cambodia,2026-04-25,PROTOCOL_VIOLATION: 28:Connection is closed by create session failed,1
ipv4,cambodia,2026-04-25,CRYPTO_ERROR (0x170): handshake failed,1
ipv4,cambodia,2026-04-25,CRYPTO_ERROR (0x150): tls: internal error,1
ipv4,cambodia,2026-04-25,CRYPTO_ERROR (0x150): handshake failed,1
ipv4,indonesia,2026-04-29,timeout: no recent network activity,60516
ipv4,indonesia,2026-04-29,CRYPTO_ERROR (0x150): 200:internal error,2686
ipv4,indonesia,2026-04-29,CRYPTO_ERROR (0x150): TLS alert 80,1324
ipv4,indonesia,2026-04-29,CRYPTO_ERROR (0x128): 28:TLS handshake failure (ENCRYPTION_INITIAL) 40: handshake failure. SSLErrorStack:[handshake_server.cc:602] error:10000085:SSL routines:OPENSSL_internal:CONNECTION_REJECTED. ExtraDetail:select_cert_error: proof_source_handle async failure,1248
ipv4,indonesia,2026-04-29,NO_ERROR: 218:Reject connection,637
ipv4,indonesia,2026-04-29,CRYPTO_ERROR (0x150): tls: internal error,543
ipv4,indonesia,2026-04-29,CRYPTO_ERROR (0x170): handshake failed,417
ipv4,indonesia,2026-04-29,CRYPTO_ERROR (0x128): handshake failed,376
ipv4,indonesia,2026-04-29,NO_ERROR,269
ipv4,indonesia,2026-04-29,CRYPTO_ERROR (0x128) (frame type: 0x6): 28:TLS handshake failure (ENCRYPTION_INITIAL) 40: handshake failure,121
ipv4,indonesia,2026-04-29,CRYPTO_ERROR (0x10a): tls: server sent two HelloRetryRequest messages,46
