ip_version,country,scan_date,metric,status,value,rows,unique_ips
ipv4,cambodia,2026-04-25,disable_active_migration,success,false,62,62
ipv4,cambodia,2026-04-25,disable_active_migration,success,true,9,9
ipv4,indonesia,2026-04-29,disable_active_migration,success,false,17313,11619
ipv4,indonesia,2026-04-29,disable_active_migration,success,true,1665,1665
ipv4,laos,2026-04-25,disable_active_migration,success,false,8,8
ipv4,laos,2026-04-25,disable_active_migration,success,true,2,2
ipv4,malaysia,2026-04-27,disable_active_migration,success,false,3475,2303
ipv4,malaysia,2026-04-27,disable_active_migration,success,true,297,294
ipv4,myanmar,2026-04-25,disable_active_migration,success,false,392,392
ipv4,philippines,2026-04-28,disable_active_migration,success,false,3019,3019
ipv4,philippines,2026-04-28,disable_active_migration,success,true,922,922
ipv4,singapore,2026-04-26,disable_active_migration,success,false,23546,20521
ipv4,singapore,2026-04-26,disable_active_migration,success,true,932,898
ipv4,thailand,2026-04-25,disable_active_migration,success,false,4143,4026
ipv4,thailand,2026-04-25,disable_active_migration,success,true,1078,1078
ipv4,timorleste,2026-04-25,disable_active_migration,success,false,2,2
ipv4,vietnam,2026-04-28,disable_active_migration,success,false,17605,10235
ipv4,vietnam,2026-04-28,disable_active_migration,success,true,1280,1263
ipv6,cambodia,2026-04-25,disable_active_migration,success,false,113,113
ipv6,cambodia,2026-04-25,disable_active_migration,success,true,7,7
ipv6,indonesia,2026-04-25,disable_active_migration,success,false,2011,2011
ipv6,indonesia,2026-04-25,disable_active_migration,success,true,95,95
ipv6,laos,2026-04-25,disable_active_migration,success,false,34,34
ipv6,laos,2026-04-25,disable_active_migration,success,true,6,6
ipv6,malaysia,2026-04-25,disable_active_migration,success,false,727,727
ipv6,malaysia,2026-04-25,disable_active_migration,success,true,58,58
ipv6,myanmar,2026-04-25,disable_active_migration,success,false,52,52
ipv6,philippines,2026-04-25,disable_active_migration,success,false,949,949
ipv6,philippines,2026-04-25,disable_active_migration,success,true,40,40
ipv6,singapore,2026-04-26,disable_active_migration,success,false,1325,1325
ipv6,singapore,2026-04-26,disable_active_migration,success,true,102,102
ipv6,thailand,2026-04-25,disable_active_migration,success,false,1780,1780
ipv6,thailand,2026-04-25,disable_active_migration,success,true,54,54
ipv6,timorleste,2026-04-25,disable_active_migration,success,false,4,4
ipv6,vietnam,2026-04-25,disable_active_migration,success,false,3415,3415
ipv6,vietnam,2026-04-25,disable_active_migration,success,true,73,73
