ip_version,country,scan_date,metric,status,value,rows,unique_ips
ipv4,brunei,2026-04-25,quicVersion,error,0,441,143
ipv4,cambodia,2026-04-25,quicVersion,error,0,1603,1603
ipv4,cambodia,2026-04-25,quicVersion,success,1,70,70
ipv4,cambodia,2026-04-25,quicVersion,success,ff00001d,1,1
ipv4,indonesia,2026-04-29,quicVersion,error,0,68416,67762
ipv4,indonesia,2026-04-29,quicVersion,success,1,18977,13283
ipv4,indonesia,2026-04-29,quicVersion,success,ff00001d,1,1
ipv4,laos,2026-04-25,quicVersion,error,0,438,438
ipv4,laos,2026-04-25,quicVersion,success,1,10,10
ipv4,malaysia,2026-04-27,quicVersion,error,0,21999,21503
ipv4,malaysia,2026-04-27,quicVersion,success,1,3772,2597
ipv4,myanmar,2026-04-25,quicVersion,error,0,1255,1255
ipv4,myanmar,2026-04-25,quicVersion,success,1,392,392
ipv4,philippines,2026-04-28,quicVersion,error,0,22722,22706
ipv4,philippines,2026-04-28,quicVersion,success,1,3940,3940
ipv4,philippines,2026-04-28,quicVersion,success,ff00001d,1,1
ipv4,singapore,2026-04-26,quicVersion,error,0,463980,459540
ipv4,singapore,2026-04-26,quicVersion,success,1,22905,20000
ipv4,singapore,2026-04-26,quicVersion,success,ff00001d,1573,1419
ipv4,thailand,2026-04-25,quicVersion,error,0,22273,21985
ipv4,thailand,2026-04-25,quicVersion,success,1,5210,5093
ipv4,thailand,2026-04-25,quicVersion,success,ff00001d,11,11
ipv4,timorleste,2026-04-25,quicVersion,error,0,366,366
ipv4,timorleste,2026-04-25,quicVersion,success,1,2,2
ipv4,vietnam,2026-04-28,quicVersion,error,0,47381,46791
ipv4,vietnam,2026-04-28,quicVersion,success,1,18858,11476
ipv4,vietnam,2026-04-28,quicVersion,success,ff00001d,27,22
ipv6,cambodia,2026-04-25,quicVersion,success,1,120,120
ipv6,indonesia,2026-04-25,quicVersion,error,0,47,47
ipv6,indonesia,2026-04-25,quicVersion,success,1,2106,2106
ipv6,laos,2026-04-25,quicVersion,success,1,40,40
ipv6,malaysia,2026-04-25,quicVersion,error,0,249,249
ipv6,malaysia,2026-04-25,quicVersion,success,1,785,785
ipv6,myanmar,2026-04-25,quicVersion,error,0,1,1
ipv6,myanmar,2026-04-25,quicVersion,success,1,52,52
ipv6,philippines,2026-04-25,quicVersion,error,0,102,102
ipv6,philippines,2026-04-25,quicVersion,success,1,989,989
ipv6,singapore,2026-04-26,quicVersion,error,0,41577,41577
ipv6,singapore,2026-04-26,quicVersion,success,1,1427,1427
ipv6,thailand,2026-04-25,quicVersion,error,0,175,175
ipv6,thailand,2026-04-25,quicVersion,success,1,1834,1834
ipv6,timorleste,2026-04-25,quicVersion,success,1,4,4
ipv6,vietnam,2026-04-25,quicVersion,error,0,51,51
ipv6,vietnam,2026-04-25,quicVersion,success,1,3488,3488
