ip_version,dimension,value,count,percent_of_total
ipv4,province_34,TP. Hà Nội,7799,0.679651
ipv4,province_34,TP. Hồ Chí Minh,2907,0.253333
ipv4,province_34,TP. Đà Nẵng,282,0.024575
ipv4,province_34,Gia Lai,234,0.020392
ipv4,province_34,Hà Tĩnh,39,0.003399
ipv4,province_34,Ninh Bình,23,0.002004
ipv4,province_34,Đồng Nai,22,0.001917
ipv4,province_34,(unmapped),17,0.001481
ipv4,province_34,TP. Cần Thơ,17,0.001481
ipv4,province_34,Quảng Ngãi,16,0.001394
ipv4,province_34,Cao Bằng,13,0.001133
ipv4,province_34,Thanh Hóa,13,0.001133
ipv4,province_34,TP. Huế,12,0.001046
ipv4,province_34,Nghệ An,11,0.000959
ipv4,province_34,Bắc Ninh,11,0.000959
ipv4,province_34,Đắk Lắk,11,0.000959
ipv4,province_34,Điện Biên,9,0.000784
ipv4,province_34,TP. Hải Phòng,7,0.00061
ipv4,province_34,An Giang,7,0.00061
ipv4,province_34,Quảng Trị,6,0.000523
ipv4,province_34,Phú Thọ,3,0.000261
ipv4,province_34,Khánh Hòa,3,0.000261
ipv4,province_34,Thái Nguyên,3,0.000261
ipv4,province_34,Quảng Ninh,2,0.000174
ipv4,province_34,Hưng Yên,2,0.000174
ipv4,province_34,Vĩnh Long,2,0.000174
ipv4,province_34,Đồng Tháp,1,8.7e-05
ipv4,province_34,Cà Mau,1,8.7e-05
ipv4,province_34,Tuyên Quang,1,8.7e-05
ipv4,province_34,Lâm Đồng,1,8.7e-05
ipv4,region_name_raw,Ha Noi,7799,0.679651
ipv4,region_name_raw,Ho Chi Minh,2672,0.232854
ipv4,region_name_raw,Da Nang,281,0.024488
ipv4,region_name_raw,Gia Lai,232,0.020218
ipv4,region_name_raw,Ba Ria - Vung Tau,223,0.019434
ipv4,region_name_raw,Ha Tinh,39,0.003399
ipv4,region_name_raw,Dong Nai,21,0.00183
ipv4,region_name_raw,-,17,0.001481
ipv4,region_name_raw,Kon Tum,16,0.001394
ipv4,region_name_raw,Cao Bang,13,0.001133
ipv4,region_name_raw,Thanh Hoa,13,0.001133
ipv4,region_name_raw,Nam Dinh,12,0.001046
ipv4,region_name_raw,Thua Thien-Hue,12,0.001046
ipv4,region_name_raw,Binh Duong,12,0.001046
ipv4,region_name_raw,Nghe An,11,0.000959
ipv4,region_name_raw,Ha Nam,11,0.000959
ipv4,region_name_raw,Dien Bien,9,0.000784
ipv4,region_name_raw,Hau Giang,9,0.000784
ipv4,region_name_raw,Phu Yen,9,0.000784
ipv4,region_name_raw,Can Tho,8,0.000697
ipv4,region_name_raw,Bac Giang,7,0.00061
ipv4,region_name_raw,Hai Duong,6,0.000523
ipv4,region_name_raw,Quang Tri,6,0.000523
ipv4,region_name_raw,An Giang,5,0.000436
ipv4,region_name_raw,Bac Ninh,4,0.000349
ipv4,region_name_raw,Khanh Hoa,3,0.000261
ipv4,region_name_raw,Thai Nguyen,3,0.000261
ipv4,region_name_raw,Vinh Phuc,2,0.000174
ipv4,region_name_raw,Quang Ninh,2,0.000174
ipv4,region_name_raw,Thai Binh,2,0.000174
ipv4,region_name_raw,Vinh Long,2,0.000174
ipv4,region_name_raw,Kien Giang,2,0.000174
ipv4,region_name_raw,Dak Lak,2,0.000174
ipv4,region_name_raw,Binh Dinh,2,0.000174
ipv4,region_name_raw,Dong Thap,1,8.7e-05
ipv4,region_name_raw,Binh Phuoc,1,8.7e-05
ipv4,region_name_raw,Hoa Binh,1,8.7e-05
ipv4,region_name_raw,Quang Nam,1,8.7e-05
ipv4,region_name_raw,Hai Phong,1,8.7e-05
ipv4,region_name_raw,Ca Mau,1,8.7e-05
ipv4,region_name_raw,Tuyen Quang,1,8.7e-05
ipv4,region_name_raw,Lam Dong,1,8.7e-05
ipv4,city_name,Hanoi,7787,0.678606
ipv4,city_name,Ho Chi Minh City,2657,0.231547
ipv4,city_name,Da Nang,281,0.024488
ipv4,city_name,Le Thanh,231,0.020131
ipv4,city_name,Tan Binh,220,0.019172
ipv4,city_name,Ha Tinh,32,0.002789
ipv4,city_name,Bien Hoa,21,0.00183
ipv4,city_name,-,17,0.001481
ipv4,city_name,Can Gio,15,0.001307
ipv4,city_name,Dong Da,13,0.001133
ipv4,city_name,Nam Dinh,12,0.001046
ipv4,city_name,Hue,12,0.001046
ipv4,city_name,Bach Kim,12,0.001046
ipv4,city_name,Bong Bang,12,0.001046
ipv4,city_name,Vinh,11,0.000959
ipv4,city_name,Phu Ly,11,0.000959
ipv4,city_name,Thanh Xuan,9,0.000784
ipv4,city_name,Song Cau,9,0.000784
ipv4,city_name,Thu Dau Mot,9,0.000784
ipv4,city_name,Can Tho,8,0.000697
ipv4,city_name,Thanh Hoa,7,0.00061
ipv4,city_name,Hai Duong,6,0.000523
ipv4,city_name,Dong Ha,6,0.000523
ipv4,city_name,Muong Nhe,5,0.000436
ipv4,city_name,Nghi Son,5,0.000436
ipv4,city_name,Dien Bien Phu,4,0.000349
ipv4,city_name,Khanh Hoa,4,0.000349
ipv4,city_name,Dong Nai,4,0.000349
ipv4,city_name,Thang,4,0.000349
ipv4,city_name,Tan Phu,3,0.000261
ipv4,city_name,Bac Giang,3,0.000261
ipv4,city_name,Nha Trang,3,0.000261
ipv4,city_name,Thai Nguyen,3,0.000261
